AIRLINE,total_flights,ontime_flights,ontime_percent
Endeavor Air Inc.,112463,84211,74.88
Delta Air Lines Inc.,395239,276841,70.04
Republic Airline,143107,98437,68.79
SkyWest Airlines Inc.,343737,235436,68.49
PSA Airlines Inc.,107050,69527,64.95
United Air Lines Inc.,254504,163778,64.35
Envoy Air,121256,78017,64.34
Mesa Airlines Inc.,65012,41744,64.21
Horizon Air,20634,13163,63.79
American Airlines Inc.,383106,239741,62.58
Alaska Airlines Inc.,100467,62438,62.15
Southwest Airlines Co.,576470,354237,61.45
Spirit Air Lines,95711,57908,60.50
ExpressJet Airlines LLC d/b/a aha!,19082,11516,60.35
Hawaiian Airlines Inc.,32114,18814,58.59
JetBlue Airways,112844,64883,57.50
Frontier Airlines Inc.,64466,36783,57.06
Allegiant Air,52738,28181,53.44
